NR.CRT,Capitol,Subcapitol,Situația Clinică,Tip,Examen,Indicație,Grad Indicație,Comentarii,Alte informații,Doza Min,Doza Max,Terapeutic
985,Cap,Neuro,Mișcări anormale,N,Tomoscintigrafie / PET-CT cu transportor de dopamina. Tomoscintigrafie de perfuzie. PET-CT cu F18-FDG,Doar cu aviz specializat,C,"SPECT de perfuzie - și mai ales cartografia receptorilor D2 dopaminergici - pot contribui la diagnosticul etiologic al sdr. parkinsoniene. Cartografia transportorului de dopamină ajută la diagnosticul diferențial între tremorul esențial, sdr. parkinsoniene degenerative si non-degenerative. Tomoscintigrafia de perfuzie si PET-CT la F18-FDG pot fi utile in diagnosticul diferential al sdr. parkinsoniene cu tulburari cognitive, dupa aviz specializat.",,2,4,Nu
986,Cap,Neuro,Patologie neuroinfecțioasă,M,IRM  cerebral,Indicat,B,"IRM-ul cerebral este recomandat în fața unui tablou de meningo-encefalită, daca nu întârzie începerea tratamentului. În cazul suspiciunii de meningită bacteriană , se indică IRM dacă: 1.există semne neurologice de localizare, 2. tulburare de vigilență (scor Glasgow sub 11), 3. crize epileptice recebte sau în curs, focale sau generalizate după vârsta peste 5 ani și numai dacă sunt de hemicorp după această vârstă.",,0,0,Nu
987,Cap,Neuro,Patologie neuroinfecțioasă,T,CT cerebral,Doar în cazuri particulare,B,Indicat dacă există contraindicații IRM sau imposibilitatea efectuării IRM.,,2,2,Nu
988,Cap,Neuro,Probleme cognitive,M,IRM cerebral,Indicat,A,"O examinare sistematică imagistică cerebrală este recomandată în cazul demenței cu instalare recentă. Scopul acestui examen e de a elimina cauzele nondegenerative ale demenței (procese expansive intracraniene, hidrocefalie cu tensiune normală, leziuni vasculare ...). Acest examen permite de asemenea diagnosticul de anomalii, orientând spre anumite demențe degenerative (atrofie de hipocamp, fronto-temporală sau parietală). Nu se recomandă examinarea cu substanță de contrast în absența unui element justificator. Dacă a fost efectuată recent o examinare imagistică, nu e recomandabilă repetarea acesteia în absența unui element care să o motiveze.",,0,0,Nu
989,Cap,Neuro,Probleme cognitive,N,"PET-CT, Tomoscintigrafie de perfuzie, Tomoscintigrafie cu transportor de dopamina",Indicat,B,Servesc la diagnosticarea precoce a maladiei Alzheimer și la diferențierea intre Maladia Alzheimer si Dementa cu corpi Levy.,,2,4,Nu
990,Cap,Neuro,Probleme cognitive,T,CT cerebral,Doar în cazuri particulare,C,"În contraindicații de examen IRM sau în imposibilitatea efectuării acestuia (accesibilitate, nivel de cooperare a pacientului)",,2,2,Nu
991,Cap,Neuro,Probleme psihiatrice,M,IRM cerebral,Doar cu aviz specializat,C,"De prima intenție pentru diagnosticul pozitiv, pentru monitorizarea afecțiunii de substanță albă și pentru diagnosticul diferențial. Poate fi completat cu IRM medular dacă nu sunt completate criteriile de diagnostic sau pentru diagnosticul diferențial.",,0,0,Nu
992,Cap,Neuro,Probleme psihiatrice,T,CT cerebral,Doar cu aviz specializat,C,Dacă există contraindicații pentru IRM sau pentru a elimina rapid existența unei tumori frontale voluminoase.,,2,3,Nu
993,Cap,Neuro,Procese expansive hipofizare și paraselare,M,IRM cerebral și hipofizar,Indicat,C,"IRM este tehnica imagistică de referință pentru diagnostic, evaluare preterapeutică și urmărire postterapeutică pentru leziunile sellare și parasellare. Permite caracterizare tisulară și extensie lezională și necesită completare cu secvență Angio-RM pentru analiza structurilor vasculare ale sinusului cavernos și suprasellare (anevrisme arteriale, fistule carotido-cavernoase, tromboflebite de sinus cavernos ...) ",,0,0,Nu
994,Cap,Neuro,Procese expansive hipofizare și paraselare,T,CT cerebral fără contrast cu reconstrucție in fereastră osoasă,Doar în cazuri particulare,C,"CT nu este indicat în patologia hipofizară. Poate fi  util dacă este nevoie de informații suplimentare asupra structurilor osoase adiacente, prezenței calcificărilor sau mai rar în cazul unui abord chirurgical transrinoseptal (dimensiunea sinusului, septuri, grosimea planșeului selar).",,2,2,Nu
995,Cap,Neuro,Scleroza în plăci și alte leziuni ale substanței albe,M,IRM cerebral,Indicat,A,"De prima intenție pentru diagnosticul pozitiv, pentru monitorizarea afecțiunii de substanță albă și pentru diagnosticul diferențial. IRM constituie un criteriu de diagnostic pentru scleroza multiplă (diseminarea spațială și temporală) în asociere cu date clinice și paraclinice (criterii revizuite McDonald). Poate fi completat cu IRM medular daca nu sunt completate criteriile de diagnostic sau pentru diagnostic diferential.",,0,0,Nu
996,Cap,Neuro,Scleroza în plăci și alte leziuni ale substanței albe,T,CT cerebral,Doar în cazuri particulare,A,Pentru diagnostic diferential.,,2,2,Nu
997,Cap,Neuro,Sindroame medulare,M,IRM medular cervico-toraco-lombar,Indicat,A,"IRM este examenul de referință pentru toate sindroamele medulare acute, subacute sau cronice. În cazuri acute și subacute trebuie realizat în urgență. Se recomandă realizarea unei examinari de ansamblu a canalului rahidian în caz de compresie medulară pentru a căuta diverse nivele de compresie.",,0,0,Nu
998,Cap,Neuro,Sindroame medulare,T,CT segment de coloana vertebrală,Doar în cazuri particulare,A,Examinarea CT poate fi realizată pentru studierea structurilor osoase. Mielografia asociată sau nu de CT poate fi utilizată în caz de contraindicație de RM.,,2,2,Nu
999,Cap,Neuro,Sindroame medulare,G,Radiografie,Doar cu aviz specializat,A,Radiografiile simple pot fi realizate în a doua intenție dacă CTul nu poate fi realizat pentru studierea structurilor osoase responsabile sau în asociere cu un sindrom medular precum și pentru aprecierea staticii.,,1,1,Nu
1000,Cap,Neuro,Stenoza carotidiană asimptomatică (suflu) – diagnostic,E,Ecografie Doppler vase cervicoencefalice,Indicat,A,De prima intenție pentru explorarea unui suflu carotidian. Ca singura metoda de investigatie nu poate da indicație chirurgicala.,,0,0,Nu
1001,Cap,Neuro,Stenoza carotidiană asimptomatică (suflu) – diagnostic,M,AngioRM artere cervico-encefalice,Doar cu aviz specializat,B,"Două tehnici neinvazive (angioRM, angioCT) împreuna cu ecografia cresc performanța în aprecierea gradului de stenoză.",,0,0,Nu
1002,Cap,Neuro,Stenoza carotidiană asimptomatică (suflu) – diagnostic,T,AngioCT trunchiuri supraaortice,Doar cu aviz specializat,B,"Două tehnici neinvazive (angioRM, angioCT) împreuna cu ecografia cresc performanța în aprecierea gradului de stenoză.",,2,3,Nu
1003,Cap,Neuro,Tulburări de vedere – scăderea acuității vizuale și afectarea campului vizual,M,IRM cerebral și orbitar,Indicat,C,Este recomandat în bilanțul scăderii acuității vizuale sau a alterărilor câmpului vizual. Circumstanțele de apariție a simptomelor și rezultatele examenelor oftalmologice și neurologice orientează tipul de secvențe necesare.,,0,0,Nu
1004,Cap,Neuro,Tulburări de vedere – scăderea acuității vizuale și afectarea campului vizual,T,CT orbitar si encefalic,Doar în cazuri particulare,C,În caz de contraindicații ale examenului IRM,,2,2,Nu
1005,Cap,Neuro,ALTĂ SITUAȚIE CLINICĂ,Z,Situație clinică neîncadrabilă,Este necesară justificare detaliată,,,,,,
1006,Cap,ORL,Colesteatom,M,IRM,Indicat,B,Examenul IRM este realizat din ce în ce mai frecvent dacă examenul CT este neconcludent sau insuficient (opacități cu caracter incert sau urechea este ocupată în totalitate cu densitați lichidiene/solide),"Examenul IRM folosește secvențe specifice pentru detectarea colesteatomului, în special difuzie.",0,0,Nu
1007,Cap,ORL,Colesteatom,T,CT,Indicat,B,Examenul CT este realizat cel mai adesea de primă intenție.,,2,3,Nu
1008,Cap,ORL,Disfuncții ale articulației temporo-mandibulare,G,Ortopantomografie,Doar în cazuri particulare,B,Examinarea permite căutarea unei cauze extraarticulare (dentară sau osoasă) deoarece examenul clinic nu este suficient pentru a pune diagnosticul.,"Simptomatologia rezultă în urma unui sindrom algic și a scăderii funcționalității de cauză musculară sau discală, caz în care se aplică un tratament conservator. Analiza simptomatologiei și examenul clinic și dentar trebuie să preceadă imagistica. Examenul imagistic trebuie să aibă indicație, acesta putând influența tratamentul.",1,2,Nu
1009,Cap,ORL,Disfuncții ale articulației temporo-mandibulare,M,IRM articulații temporo-mandibulare,Doar în cazuri particulare,B,Examenul IRM este cel mai indicat pentru examenul discurilor și pieselor articulare în cazul suspiciunii unor afecțiuni care nu răspund la tratament.,Examenul IRM permite bilanțul artritelor inflamatorii și  infecțioase.,0,0,Nu
